Colony_ID,X_internal,Y_internal,Z_internal,X_Real_World_Position,Y_Real_World_Position,Z_Real_World_Position,,Size
C,25.573925007297316,-28.9960537,-8.160790466,-3.60953917,12.060058804395624,0.5479127951587066,,
D,35.39675907679905,-43.05716323,-8.160731255,-4.663843847,17.24337474343836,1.0605843209167327,,
E,40.706207283847355,-55.99945439,-7.442491045,-4.594306979,21.522168561970126,1.7828066690985858,,
920,-19.56907205,-10.1122891,-11.81351487,-1.065384488,5.400244339,0.34332622237667376,,
720,-29.68908706,-17.74177653,-13.35519805,-1.950470668,7.539349387418801,0.31092266127686674,,
717,-111.6108784,-43.04674553,-17.63549104,-2.989023368,22.953163360100046,2.2317517005293706,,
772,-8.849994694,-2.033463741,-10.26570891,-0.125842106,3.1374262214280666,0.3626213681728967,,
719,-63.00370413,-35.84961732,-15.04766877,-3.738729798,14.15587102004955,0.94176159,,
721,-9.648793251,-15.4597328,-11.15716712,-2.411912322,3.905641652471552,-0.035832031,,
919,-41.15603852,-19.63408908,-13.84171156,-1.811133359,9.619334446969159,0.6331104733310404,,
B,-28.70703705,-17.20101729,-13.06533259,-1.903482521,7.3360740353530325,0.3346915438421716,,
C,-51.75769428,-32.52240375,-15.09243201,-3.603449698,12.06733594777891,0.5638370653282934,,
D,-78.29961396,-44.97360601,-16.67800157,-4.676488517,17.258167232117035,1.0648203561726355,,
E,-101.5422973,-50.01132577,-17.38324938,-4.612026654,21.518679471073128,1.742876721960863,,
719,-27.21405412,-55.65730286,-11.49795046,-3.765094519,14.159628905689829,0.9213615250108932,,
918,-128.5952301,-155.4072265,-1.546134684,0.2524617779871552,23.904536022228147,3.0220269331365097,,
920,-15.25871571,65.68249421213638,-8.941711933,-1.027568827,5.400934726801249,0.3634084767626995,,
720,-15.18699489,34.95937022,-10.81909638,-1.928447896,7.539157734816454,0.38764220467325106,,
772,-14.64611717,97.82606505840774,-7.028998005,-0.132325936,3.144424977,0.3286416821067718,,
716,-141.6264554,-167.2621603,-0.688422386,0.7996329605582279,25.09366979198931,3.255336791362751,,
717,-83.23697398,-159.7717407,-6.884652927,-2.985004154,22.940604597425136,2.279319486928197,,
919,-27.31706593,10.254083580483517,-10.65561127,-1.818827412,9.596752640328917,0.6308417097661304,,
721,9.806904592,77.02854149633193,-10.53305191,-2.418223924,3.9056247923958862,-0.019402975,,
B,-14.17994201,37.36081310274476,-11.56036534,-1.92331032,7.349991420847307,0.31116825411580395,,
C,-17.93074784,-28.85261911,-14.15031883,-3.602536592,12.059135157756176,0.5038559709746844,,
D,-31.98102184,-98.31310281,-12.92712196,-4.685572016,17.259240040436826,1.0824084299831265,,
E,-55.69764709,-150.6404723,-10.69381929,-4.600171938,21.545057604182556,1.7225985877283407,,
920,-2.519823455,1.114353326231534,-11.25226197,-1.014104583,5.410776421,0.3367882252268889,,
720,-5.970424025,27.21968460239043,-13.35048954,-1.923489057,7.549925624,0.3489909741875117,,
918,72.31145472,200.35784173737417,-19.13525497,0.3010313945280341,23.906733258315782,3.055959941,,
772,0.13373308700601538,-26.55560532,-8.324149059,-0.144414497,3.110328853,0.3647648964806749,,
717,32.21686496812084,199.58943222622423,-19.60321987,-2.994692183,22.94204138744624,2.2426935398503374,,
719,-4.94594539,105.25551112345745,-15.97531817,-3.759338775,14.147257668568477,0.913264511,,
919,1.8912233793313615,49.180859355335066,-14.77016213,-1.801937942,9.587971529774473,0.5943257738386611,,
721,-22.7950952,-10.79419911,-9.500447499,-2.422204464,3.9288550809934226,-0.018269951,,
B,-6.608307362,25.213737499701768,-12.74959469,-1.935317722,7.358641818520969,0.36832319822151804,,
C,-10.38136485,81.78873447525037,-17.07483656,-3.602582666,12.075130895879584,0.48447409247714535,,
D,-5.350868219,142.26205445428022,-17.74691207,-4.695513378,17.263483928637623,1.1188896839423554,,
E,9.367467283098536,188.82579026877642,-19.18241302,-4.624051814,21.517369551472584,1.7361747506323102,,
B,8.991968170568187,-38.00796504,-8.033980267,-1.917531157,7.332810680565357,0.3434645985345517,,
C,18.272790911429826,-69.56063841,-7.551228545,-3.615077073,12.072398548056425,0.5972421038822955,,
D,23.09397514492864,-103.7752762,-6.847994321,-4.66735408,17.245388343685825,1.0254848079687533,,
E,20.677696265756826,-132.0583954,-4.804717058,-4.603384362,21.545097023874874,1.7537575839830675,,
920,3.8262660574625476,-25.02852059,-7.549930498,-1.031343811,5.38283466,0.3744035165383248,,
720,9.208137485657446,-39.34447483,-8.014716993,-1.962653957,7.534804331627694,0.35828629001490686,,
918,-12.88677883,-146.1080498,-2.358997112,0.28843704316762675,23.883544419206764,3.1087971046525746,,
772,-1.286706406,-9.959759292,-7.13660279,-0.132737568,3.1149718481032664,0.3666629818366398,,
919,7.542171941849372,-53.37979892,-8.02062057,-1.8365277,9.686035855903294,0.577095052,,
716,-16.4255084,-153.8479157,-3.026081372,0.7696161883843151,25.09719648375893,3.1922888507561473,,
717,9.253172028143188,-140.9584095,-3.77142553,-2.979951238,22.96599616129322,2.297983054199446,,
719,18.047710509854067,-83.2218033,-6.207360991,-3.73493533,14.137730721289115,0.9802082743520864,,
721,13.605369637732812,-15.64823874,-7.462013913,-2.42783419,3.8843001872335243,0.032650602367627846,,
NC_1_1,-0.49207671,-24.76546232,-7.266193933,-0.38267521,5.368456434469555,0.5175683645017686,,1
NC_1_2,6.630209443523613,-40.8346224,-7.90694899,-1.588756103,7.778199594327984,0.4555462601120823,,3
NC_1_4,3.3533403874007464,-68.14587741,-7.111648098,-1.356841355,11.953185145667083,1.0038413953735237,,4
NC_1_3,33.80264654,-87.08182763,-6.752397356,-6.138970578,14.62545754651672,0.5689373581844259,,5
NC_3_1,-17.24908008,-139.5102016,-3.411710851,1.031748482098455,22.922487970161992,2.9703681418998444,,5
NC_3_2,26.01019567772876,-147.1253538,-4.693665961,-5.547396886,23.803814242221456,1.8352841093280388,,4
NC_1_5,32.258280396704805,-104.3345147,-6.013369386,-6.077465442,17.255883786310193,0.9383577668730017,,2
