region,site,colony_id,species,type,tag_date,dead,dead_date,project,location,notes,no
Coiba,Uvas,756,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,68
Coiba,Uvas,757,Pl.,T3,10/1/2020,NA,NA,RRR,RRR transect,NA,69
Coiba,Uvas,758,Pl.,T3,10/1/2020,NA,NA,RRR,RRR transect,NA,70
Coiba,Uvas,759,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,71
Coiba,Uvas,760,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,72
Coiba,Uvas,761,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,73
Coiba,Uvas,762,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,74
Coiba,Uvas,763,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,75
Coiba,Uvas,764,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,NA,76
Coiba,Uvas,765,Pc.,T1,10/1/2020,NA,NA,RRR,RRR transect,Small (02/2023),77
Coiba,Uvas,766,Pc.,T1,3/1/2021,NA,NA,RRR,RRR transect,NA,78
Coiba,Bahia Damas,769,Pc.,T1,3/1/2021,NA,NA,RRR,RRR transect,NA,12
Las Perlas,Saboga,772,Pl.,T3,3/1/2021,yes,1/1/2024,RRR,RRR transect,Very small (02/2023),153
Las Perlas,Mogo Mogo,773,Pl.,T3,3/1/2021,yes,1/1/2024,RRR,RRR transect,NA,132
Las Perlas,Contadora,774,Pl.,T3,3/1/2021,yes,12/1/2023,RRR,RRR transect,sequencing failed / identified morphologically,106
Las Perlas,Mogo Mogo,900,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,near 773,133
Las Perlas,Mogo Mogo,901,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,134
Las Perlas,Mogo Mogo,902,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,135
Las Perlas,Mogo Mogo,903,Pl.,T3,2/1/2023,yes,1/1/2024,RRR,RRR transect,NA,136
Las Perlas,Contadora,904,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,Next to 703,107
Las Perlas,Contadora,906,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,108
Las Perlas,Contadora,907,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,Near 704 at 40m transect mark,109
Las Perlas,Contadora,908,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,Near 20m transect mark,110
Las Perlas,Saboga,909,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,154
Las Perlas,Saboga,910,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,155
Las Perlas,Saboga,915,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,156
Las Perlas,Saboga,917,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,157
Las Perlas,Saboga,918,Pl.,T3,2/1/2023,yes,1/1/2024,RRR,RRR transect,NA,158
Las Perlas,Saboga,919,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,159
Las Perlas,Saboga,920,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,160
Coiba,Canales de Afuera,921,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,near 743,34
Coiba,Canales de Afuera,922,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,near 742 (touching),35
Coiba,Canales de Afuera,923,Pc.,T1,3/1/2021,NA,NA,RRR,RRR transect,Tag lost (768) and replaced by 923,36
Coiba,Uvas,924,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,near 0m,79
Coiba,Machete,926,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,57
Coiba,Machete,927,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,58
Coiba,Machete,928,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,59
Coiba,Machete,929,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,60
Coiba,Machete,930,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,61
Coiba,Machete,931,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,62
Coiba,Machete,932,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,63
Coiba,Machete,933,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,64
Coiba,Machete,934,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,65
Coiba,Uvas,935,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,80
Coiba,Uvas,936,Pl.,T3,2/1/2023,yes,12/1/2023,RRR,RRR transect,NA,81
Coiba,Uvas,937,Pl.,T3,2/1/2023,NA,NA,RRR,RRR transect,NA,82
Coiba,Uvas,938,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,83
Coiba,Uvas,939,Pl.,T3,2/1/2023,yes,12/1/2023,RRR,RRR transect,NA,84
Coiba,Machete,940,Pc.,T1,2/1/2023,NA,NA,RRR,RRR transect,NA,66
